machine_id,temperature,vibration,pressure,rotational_speed,failure
14,59.55,0.1656,126.24,1249.57,0
21,58.83,0.1236,75.93,1876.22,0
48,80.66,1.3027,82.27,1514.59,0
20,69.67,0.424,58.35,2046.85,0
8,55.51,0.0553,114.55,1712.8,0
7,107.66,0.1072,53.69,1492.23,0
67,58.13,3.3737,119.86,1235.56,0
17,91.38,0.1088,136.19,1468.69,0
33,52.85,0.4714,134.56,1781.19,0
48,81.85,0.2725,74.68,1047.56,0
76,71.24,1.084,62.73,1378.49,0
59,65.56,0.7036,87.15,1015.66,0
86,77.95,0.4543,117.58,1187.7,0
22,75.93,0.0054,124.08,1316.62,1
30,62.81,1.0593,113.29,1418.78,0
38,62.13,0.2941,110.56,1606.01,0
51,51.39,1.341,147.22,1710.53,0
54,79.58,0.3421,90.44,1915.03,0
8,56.19,0.5925,84.44,1980.96,0
27,75.06,0.0359,76.22,1855.58,0
27,83.89,0.6835,108.66,1386.17,0
98,78.12,0.2062,96.41,1570.14,0
21,64.15,0.2164,116.5,1331.32,0
30,88.63,0.0632,90.99,1575.19,0
97,68.88,0.0794,112.58,1451.8,0
28,54.99,0.1027,92.32,1157.31,0
64,70.74,0.1989,96.75,1935.59,0
97,83.8,1.1127,98.64,2012.42,0
69,64.88,0.2296,65.99,1272.58,1
61,88.17,0.6443,97.2,1656.23,0
48,63.45,0.0432,111.24,1285.54,0
19,65.49,0.4471,80.24,1476.23,0
4,59.31,0.3288,138.2,1340.51,0
35,85.26,1.9074,100.1,1311.85,0
64,74.2,0.9361,87.46,1557.05,0
49,60.3,0.3033,86.85,955.39,0
17,69.06,0.7461,127.41,1343.13,0
44,30.0,0.1072,83.5,2704.67,1
92,86.67,0.4132,105.96,1037.67,0
30,72.44,0.0388,117.66,1385.91,0
93,38.91,0.2139,111.08,1586.43,0
46,53.15,0.128,88.75,1446.12,1
6,68.68,0.6345,116.78,1270.83,0
99,55.29,0.3368,103.12,1790.41,0
37,86.9,0.6953,65.6,1544.81,0
24,81.28,0.3621,124.47,1312.97,0
93,80.39,0.0452,87.73,1757.18,0
46,35.93,0.6647,96.49,1341.8,0
53,67.12,0.8956,106.19,1237.53,0
95,64.54,1.1693,89.36,1676.34,0
99,60.69,0.4243,115.14,1107.88,0
60,68.77,0.7004,77.92,2027.35,0
97,58.11,0.6973,88.51,1954.83,0
63,78.23,0.0847,124.51,1664.07,0
85,86.5,0.0897,100.51,1325.34,0
32,85.21,0.0368,78.86,1179.66,0
87,72.93,0.1928,101.57,728.17,0
33,104.99,0.3208,108.03,1984.79,0
67,92.1,3.0824,68.28,1209.17,0
18,73.48,0.2819,133.09,1606.23,0
25,67.77,0.6478,135.79,1559.69,0
95,95.07,0.5911,102.4,998.25,0
54,90.11,0.1144,96.0,1318.67,0
58,53.84,0.0301,100.46,1160.08,0
67,91.29,0.3948,117.86,1737.93,0
46,72.68,0.6025,109.05,1751.15,0
24,62.09,3.1746,104.78,1426.78,0
32,45.31,0.2221,127.65,1247.17,0
47,70.97,1.1334,122.62,1556.39,0
86,74.82,0.2406,80.8,1832.14,0
23,98.81,0.5846,117.75,1055.54,0
66,89.36,0.456,123.03,2133.8,0
27,66.26,0.0272,105.57,1426.86,0
2,80.84,0.0408,111.98,1464.35,1
90,87.39,0.0105,93.85,1980.8,0
17,76.29,0.2317,75.91,1483.26,0
33,66.19,0.6848,137.75,1468.46,0
9,67.02,0.0948,73.21,1225.96,0
43,80.78,0.4655,133.63,1326.87,0
48,81.19,0.1704,98.7,1288.16,0
39,70.61,0.7973,124.95,970.29,1
93,35.71,0.8007,100.46,875.92,0
42,55.64,0.7467,118.75,1430.52,0
26,84.3,0.372,108.98,1085.68,0
99,43.04,0.1674,86.61,1695.8,0
50,92.76,0.8289,102.68,1433.77,0
25,90.54,0.103,97.14,1021.29,0
24,75.62,0.1711,112.86,1957.43,0
13,83.97,0.1016,102.83,1372.08,0
60,82.93,0.5608,105.72,1654.53,0
7,73.25,0.5796,79.48,1993.24,0
57,54.39,0.5285,74.44,1489.85,0
36,89.51,0.2686,101.41,1504.2,0
45,96.11,0.0528,103.63,1931.44,0
20,56.87,1.2105,78.97,1411.83,0
65,53.83,0.3544,111.43,1821.95,0
8,72.95,0.2613,112.3,1477.78,0
16,65.61,0.4444,103.12,1551.09,0
14,77.17,0.1071,100.31,1546.9,0
76,93.12,0.0711,74.65,1389.06,0
87,41.31,0.26,74.31,1339.56,0
15,98.72,0.1289,107.89,1304.22,0
92,68.9,0.14,83.44,1111.31,0
98,82.68,1.1152,84.84,1366.02,0
66,84.28,0.3783,105.58,1420.39,0
32,86.03,0.3303,140.75,1622.26,0
87,75.93,0.5848,92.05,1472.31,0
63,79.43,1.5136,141.01,1823.22,0
86,79.34,0.0595,98.47,1809.72,0
51,65.55,0.8965,111.28,1903.57,0
25,48.63,0.4386,119.19,1439.3,1
58,56.71,0.079,120.65,1346.7,0
63,73.44,0.1763,106.78,1089.76,0
62,63.2,0.3292,95.41,1892.53,0
22,63.23,0.5875,116.56,1153.66,0
58,101.99,0.1389,108.48,1229.67,0
58,87.88,0.3827,91.28,1567.72,0
86,71.22,0.5771,128.18,1407.34,0
49,85.08,0.2978,109.15,1934.19,0
52,68.7,0.994,85.02,1269.74,0
42,76.66,1.018,82.68,1508.72,0
70,81.62,0.3181,139.18,944.18,1
15,68.74,1.8046,90.15,1869.65,0
54,64.72,0.0393,115.06,997.26,0
60,93.36,0.0017,107.54,2246.31,0
97,84.21,0.2396,114.38,1464.78,0
8,41.18,0.4595,138.24,1413.78,0
53,64.98,0.496,119.95,1490.51,0
60,63.28,0.3236,116.72,1177.79,0
5,65.68,0.0667,96.06,1697.37,0
68,87.94,0.0935,86.71,1377.43,0
6,75.29,0.9558,148.39,1406.21,0
96,54.16,1.0121,99.16,1885.53,0
94,69.25,0.5603,97.87,984.07,0
47,83.13,0.5456,105.78,1441.27,0
99,71.71,0.4553,103.83,1467.18,0
55,65.33,0.1134,131.86,1541.42,0
40,79.97,0.2795,110.79,1333.14,1
52,99.27,0.5952,73.8,1404.29,0
16,81.92,0.3853,86.81,2054.77,0
13,94.51,0.0094,100.21,1649.84,0
30,66.34,1.5348,120.51,1266.28,0
19,74.87,0.9316,69.59,1695.65,0
17,74.57,0.1509,109.88,1513.69,0
63,76.78,0.4792,114.63,1722.58,0
19,81.61,1.2835,117.65,1438.8,0
92,61.22,0.0505,98.4,1257.66,0
58,84.71,0.3496,120.98,999.44,0
55,50.58,0.3046,83.7,1845.71,0
90,54.96,0.264,118.91,1705.23,0
90,107.03,0.9027,98.77,1607.01,0
62,67.35,0.2395,100.86,1694.66,0
23,85.94,0.0329,100.64,1871.01,0
9,100.47,0.0341,113.0,995.07,1
12,40.28,0.0218,77.9,1525.0,0
1,91.89,0.2631,117.71,956.77,0
58,84.73,0.6336,117.42,1381.79,0
1,99.61,0.1139,93.97,1598.97,0
34,57.28,0.5199,100.05,1394.41,0
96,96.77,0.5809,82.81,2028.72,0
48,63.91,0.1473,76.79,1412.68,0
89,90.82,0.4588,103.95,1268.93,0
1,74.46,0.5774,104.08,1509.6,0
16,86.56,0.3143,93.26,1189.23,0
61,75.73,0.2053,75.0,1237.06,0
64,47.41,0.4827,109.14,1780.94,0
63,30.0,1.9049,92.77,1797.08,1
69,78.15,0.2783,85.01,1547.12,0
22,71.04,0.2486,125.52,1683.09,0
93,80.97,0.3121,80.5,2126.52,0
67,71.22,0.0396,111.24,1482.49,0
76,105.27,0.4028,70.01,1239.94,0
26,78.46,0.1993,71.28,1660.73,0
16,68.3,0.0647,109.65,1750.57,0
51,80.06,0.3139,93.28,1780.11,0
86,68.57,0.0017,76.62,1843.26,0
57,76.39,0.2569,119.0,1798.48,0
29,56.74,0.0559,107.43,1656.01,0
78,74.87,0.0123,57.44,1690.77,0
92,67.83,0.87,119.19,1623.23,0
69,58.16,1.24,78.72,1023.2,0
47,104.64,0.1164,65.84,984.45,0
94,58.74,0.3875,83.59,1184.02,0
62,75.1,0.1628,99.16,1745.94,0
69,62.96,0.3402,101.55,1368.7,0
76,79.46,0.2869,67.3,1540.86,0
16,55.88,0.1567,71.74,1968.99,0
90,87.61,0.6026,84.78,1825.11,0
90,105.54,0.0676,86.06,848.11,0
48,62.41,0.0273,115.24,1719.06,0
85,93.25,0.7298,91.73,1516.84,0
39,69.27,0.5482,114.85,1303.25,0
100,97.59,0.3451,121.92,1401.75,0
33,107.83,0.3154,111.11,1405.93,0
94,71.49,0.344,50.0,1106.5,0
23,52.2,0.2873,93.92,1573.36,0
10,89.22,0.2495,96.67,2152.98,0
69,78.37,0.3463,98.91,1804.78,0
100,82.53,0.3759,58.36,892.13,0
34,69.9,0.5887,84.72,1587.4,0
52,61.73,0.621,72.76,1587.37,0
95,92.41,0.2371,81.47,1201.53,0
10,79.8,0.2668,94.83,1136.74,0
19,53.35,0.234,85.17,1769.3,0
58,85.3,0.3845,82.94,1531.48,0
96,82.29,0.302,96.04,1356.81,0
1,70.12,1.1018,90.16,1680.76,0
69,99.3,0.596,103.99,2135.2,1
4,65.73,1.1446,91.6,1577.39,0
16,72.47,0.6175,68.65,1587.41,0
24,86.53,1.7701,79.38,1493.53,0
80,76.15,0.5049,93.44,1382.33,0
2,54.23,1.6559,91.04,1745.74,0
92,77.76,0.0861,71.73,1442.22,0
32,68.78,0.027,113.53,1649.98,0
91,87.85,0.4327,106.24,1950.19,0
84,77.27,2.052,87.98,1723.43,0
24,76.42,0.2703,96.73,1117.9,0
12,59.28,0.1192,78.56,1100.34,0
50,71.55,0.3686,117.06,1875.98,0
35,89.55,0.5232,141.38,1466.35,0
33,63.35,0.1893,87.11,1578.25,0
33,74.51,0.6272,124.48,1262.44,0
61,60.95,1.8467,82.78,1684.82,0
51,57.24,1.1363,89.36,2066.36,0
43,73.73,0.1724,128.67,1545.48,0
12,77.61,0.1978,97.6,1694.36,0
67,104.91,0.2322,113.74,1873.64,0
65,68.17,0.2509,94.61,2004.04,0
33,74.25,0.0529,63.95,1296.22,0
40,56.25,0.7177,146.75,1624.09,1
74,84.18,0.2273,95.66,1882.54,1
43,80.97,1.0594,103.12,1966.23,0
44,97.33,1.3082,85.35,1372.9,1
29,91.67,0.0124,115.6,1298.95,0
13,80.27,2.2328,114.13,1453.51,0
12,67.95,0.619,68.85,1403.77,0
95,78.07,0.3674,103.42,1416.4,0
46,73.33,0.2468,117.54,1623.59,0
2,89.3,0.3654,124.01,1337.75,0
35,87.39,0.1962,112.93,1967.75,0
87,70.55,0.4873,114.69,1378.6,0
81,53.07,0.0488,89.2,1319.65,0
90,95.0,0.4853,75.42,1149.05,0
8,83.73,0.161,93.78,1877.18,0
93,70.21,0.0089,74.96,1111.98,0
26,83.14,0.4023,85.22,1637.21,0
74,76.12,0.4319,84.92,1708.37,0
90,94.78,0.2781,81.19,625.07,0
34,46.05,0.0375,110.65,1107.38,0
7,69.04,1.1191,79.75,1386.65,0
68,98.99,0.4726,136.71,2068.36,0
58,83.45,0.0615,119.78,1386.72,0
75,101.59,0.3576,123.79,1348.96,0
29,56.67,0.3438,86.22,1275.05,0
36,91.08,0.0312,104.01,1270.36,0
89,90.18,0.4668,79.14,1309.46,0
21,49.77,0.826,104.35,1298.36,0
36,70.57,0.6912,64.65,1285.54,0
10,73.4,0.1134,121.25,1285.2,0
73,50.71,0.9913,87.1,1385.65,0
24,70.88,0.2097,106.06,1785.24,0
64,88.1,1.4641,109.77,1163.66,0
99,69.14,0.0372,88.92,1305.91,0
49,78.63,0.333,84.03,1344.09,0
99,78.74,0.4546,97.6,1499.98,0
36,74.82,0.1423,116.06,1271.15,0
82,64.42,0.7378,97.06,2122.62,0
96,84.88,0.4929,112.06,1674.96,0
24,51.19,0.0091,115.88,1792.32,0
23,75.13,0.4687,96.15,1571.58,0
62,95.78,0.3381,97.75,1921.31,0
96,68.29,0.1091,102.78,1157.06,0
37,64.09,2.7302,122.85,1332.76,0
12,85.88,1.1373,93.13,1255.03,0
55,77.45,0.173,122.76,1448.59,0
13,86.18,0.3894,105.1,1975.11,0
23,75.58,0.1903,85.27,2159.81,0
89,39.18,0.7469,99.16,1786.39,0
99,92.7,1.332,77.59,1470.61,0
30,106.05,0.2222,73.08,1836.01,0
17,94.26,0.8189,112.14,1944.94,0
62,30.0,0.345,115.96,1852.95,0
84,81.77,0.2526,99.34,1459.91,0
89,68.0,1.3937,100.95,1467.89,0
86,58.74,0.3571,88.46,1302.52,0
13,76.84,0.315,103.4,1426.44,0
59,72.77,0.558,139.63,1260.21,0
19,82.63,0.1514,120.19,1480.68,0
49,75.85,0.1964,98.48,1493.06,0
100,58.19,1.3445,96.74,1240.93,0
12,66.35,0.5674,92.47,2305.62,0
61,63.93,0.8762,71.78,1588.83,0
19,49.25,0.1581,90.34,1887.73,0
76,54.43,0.3924,113.48,1860.18,0
9,71.83,1.7771,81.36,2082.9,0
71,96.36,0.1919,94.4,1227.9,0
28,66.97,0.0875,77.64,1336.42,0
78,63.64,0.3576,115.71,955.78,0
95,57.28,0.2454,74.54,1014.72,1
52,75.46,0.0869,111.85,1197.08,0
83,92.69,1.0971,120.57,1454.45,0
16,105.04,2.3402,93.53,1471.75,0
69,79.28,0.4203,86.26,2452.51,0
99,77.1,0.7451,109.5,1650.98,0
12,66.85,0.9796,132.05,1791.08,0
25,69.35,0.6036,126.83,1542.62,0
52,84.44,0.0226,98.52,1106.17,0
85,70.28,0.0858,82.34,1589.01,0
